# =============================================================================
#  samples_registry.txt  --  SINGLE SOURCE OF TRUTH for logical sample keys
#                            covers BOTH workstreams: ttHH -> 4b and top-CPV (SSB)
# =============================================================================
#  Created 2026-08-17. Purpose: kill the four-way duplication of the sample
#  list that exists today --
#    1. NtupleForge/crabConfig/config_ttHH<ERA>.yaml               (key -> DAS path)
#    2. NtupleForge/script/das_ul18_scan.sh                        (61-entry bash array)
#    3. TTHHGenCategoryTools/TtbarIdExtender/crab/datasets.yaml    (nano_child)
#       + that repo's crab/resolve_parents.sh                      (another copy)
#    4. TopCPVGenCategorizer/condor/datasets.txt                   (label + DAS path)
#  ...each of which has to be edited by hand when a sample is added, and which
#  have already drifted (docs/02_CHANGELOG.md 2026-08-17).
#
#  This file holds ONLY the (logical key -> PRIMARY dataset name) mapping, which
#  is the part that does NOT depend on era or NanoAOD version. The campaign
#  string, the global tag, the _extN suffix, the -vN suffix and the event counts
#  are all resolved at scan time by script/das_scan.sh -- NEVER written here,
#  NEVER guessed. (Same rule TTHHGenCategoryTools states for MiniAOD parents:
#  "Never assume the -vN suffix from the nano child.")
#
#  PROVENANCE OF THE ROWS BELOW: extracted 2026-08-17 from the live configs --
#    ttHH : config_ttHH{2017,2018}UL.yaml                    (61 MC + 3 Data PD)
#    CPV  : config_CPV{2016preVFP,2016postVFP,2017,2018}UL_{MC,Data}.yaml
#           + config_CPV2017UL_MC_validation.yaml (the CPVval subset)
#  Key, primary and group are byte-identical to what those files already
#  contain. No sample was added, removed or renamed in the extraction.
#  Totals: 172 rows -- 64 ttHH, 109 CPV, of which 13 are CPVval.
#
# -----------------------------------------------------------------------------
#  FORMAT (whitespace-separated, 6 columns, no spaces inside a field)
#
#     <TYPE>  <KEY>  <PRIMARY>  <ERAS>  <GROUP>  <WORKSTREAM>
#
#     TYPE     MC | DATA
#     KEY      logical sample key = the project-wide canonical name
#              (tempTTHH D-2026-06-30-A). It is the join key for the xsec DB
#              (tempTTHH/data/samples_<ERA>.json), the filelist directories and
#              the Expanded_genTtbarId patch filenames -- do not rename casually.
#     PRIMARY  the DAS *primary dataset* name (first field of the DAS path).
#              For DATA this is the primary dataset (PD) name.
#     ERAS     comma-separated eras where this sample is expected, or '*'.
#              An era listed here that DAS does not have -> RESULT|...|NOT_FOUND
#              (loud, and build_from_scan_log.py refuses to emit a config).
#              An era NOT listed here is skipped silently. Use this to encode
#              known facts, e.g. "BTagCSV does not exist in 2018".
#     GROUP    grouping tag; drives the '# --- ... ---' comment headers in the
#              generated config. Keep stable.
#     WORKSTREAM comma-separated tags saying WHICH analysis needs this sample:
#              ttHH    the ttHH -> 4b campaign (config_ttHH<ERA>.yaml)
#              CPV     the top-CPV / SSB gen-categorization campaign
#                      (config_CPV<ERA>_{MC,Data}.yaml)
#              CPVval  additionally part of the 13-sample CPV cross-validation
#                      subset (config_CPV2017UL_MC_validation.yaml, and the
#                      1:1-aligned TopCPVGenCategorizer/condor/datasets.txt)
#              Filter with `das_scan.sh --workstream <tag>`. Added 2026-08-17 --
#              before that the registry held the ttHH list only, which covered
#              just 12 of the CPV campaign's 71 MC primaries: the two
#              workstreams deliberately use DIFFERENT samples (e.g. ttHH uses
#              QCD_HT*_TuneCP5_13TeV-madgraphMLM, CPV uses
#              QCD_HT*_TuneCP5_PSWeights_13TeV-madgraph; ttHH uses
#              ST_tW_top_5f_inclusiveDecays, CPV uses
#              ST_tW_top_5f_NoFullyHadronicDecays). Key collisions: zero,
#              verified 2026-08-17 -- the two naming schemes do not overlap.
#
#  Comments ('#') and blank lines are ignored.
#
#  ext1/ext2/ext3 variants are deliberately NOT listed: they share their base
#  sample's PRIMARY, are found by the campaign wildcard at scan time, and are
#  split into <KEY>_ext1 / <KEY>_ext2 keys by build_from_scan_log.py. This is
#  why UL18 could pick up the new TTWW_ext1 without a code change.
#
# -----------------------------------------------------------------------------
#  ADDING AN ERA
#    Run 2 UL (2016preVFPUL / 2016postVFPUL): append the era token to the ERAS
#    column of the rows that exist there. The ttHH campaign has never been run
#    for 2016, so no row claims 2016 yet -- adding the token without a --probe
#    run first would just manufacture NOT_FOUNDs.
#
#    Run 3 (2022 / 2022EE / 2023 / 2023BPix / 2024): the tune token changes
#    (TuneCP5_13TeV -> TuneCP5_13p6TeV) and several primaries were renamed, so
#    the rows below do NOT carry over. Add SEPARATE Run-3 rows with the same
#    KEY and the Run-3 PRIMARY, e.g.
#        MC  TTbar_SemiLep  TTtoLNu2Q_TuneCP5_13p6TeV_powheg-pythia8  2022,2022EE  ttbar
#    Keeping the KEY identical is what makes the analyzer/xsec DB year-generic.
# =============================================================================

# ---------------------------------------------------------------------------
# TYPE  KEY   PRIMARY   ERAS   GROUP   WORKSTREAM
# ---------------------------------------------------------------------------

# ===== ttHH / signal =====
MC   TTHHto4b                                                                TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8                                         2017UL,2018UL                             signal     ttHH

# ===== ttHH / ttbar =====
MC   TTbar_SemiLep                                                           TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8                                   2017UL,2018UL                             ttbar      ttHH
MC   TTbar_Hadronic                                                          TTToHadronic_TuneCP5_13TeV-powheg-pythia8                                       2017UL,2018UL                             ttbar      ttHH
MC   TTbar_DiLep                                                             TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8                                          2017UL,2018UL                             ttbar      ttHH

# ===== ttHH / ttbb =====
MC   TTbb_SemiLep                                                            TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8                       2017UL,2018UL                             ttbb       ttHH
MC   TTbb_Hadronic                                                           TTbb_4f_TTToHadronic_TuneCP5-Powheg-Openloops-Pythia8                           2017UL,2018UL                             ttbb       ttHH
MC   TTbb_DiLep                                                              TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8                              2017UL,2018UL                             ttbb       ttHH

# ===== ttHH / qcd =====
MC   QCD_HT200to300                                                          QCD_HT200to300_TuneCP5_13TeV-madgraphMLM-pythia8                                2017UL,2018UL                             qcd        ttHH
MC   QCD_HT300to500                                                          QCD_HT300to500_TuneCP5_13TeV-madgraphMLM-pythia8                                2017UL,2018UL                             qcd        ttHH
MC   QCD_HT500to700                                                          QCD_HT500to700_TuneCP5_13TeV-madgraphMLM-pythia8                                2017UL,2018UL                             qcd        ttHH
MC   QCD_HT700to1000                                                         QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8                               2017UL,2018UL                             qcd        ttHH
MC   QCD_HT1000to1500                                                        QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8                              2017UL,2018UL                             qcd        ttHH
MC   QCD_HT1500to2000                                                        QCD_HT1500to2000_TuneCP5_13TeV-madgraphMLM-pythia8                              2017UL,2018UL                             qcd        ttHH
MC   QCD_HT2000toInf                                                         QCD_HT2000toInf_TuneCP5_13TeV-madgraphMLM-pythia8                               2017UL,2018UL                             qcd        ttHH

# ===== ttHH / ttH =====
MC   ttHTobb                                                                 ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8                                       2017UL,2018UL                             ttH        ttHH
MC   ttHToNonbb                                                              ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8                                    2017UL,2018UL                             ttH        ttHH

# ===== ttHH / tH =====
MC   tHq                                                                     THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8                              2017UL,2018UL                             tH         ttHH
MC   tHW                                                                     THW_ctcvcp_5f_Hincl_TuneCP5_13TeV_madgraph_pythia8                              2017UL,2018UL                             tH         ttHH

# ===== ttHH / ttV_had =====
MC   TTZToBB                                                                 TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8                                          2017UL,2018UL                             ttV_had    ttHH
MC   TTWJetsToQQ                                                             TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8                          2017UL,2018UL                             ttV_had    ttHH

# ===== ttHH / ttV_lep =====
MC   TTWJetsToLNu                                                            TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8                         2017UL,2018UL                             ttV_lep    ttHH
MC   TTZToLLNuNu                                                             TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8                                 2017UL,2018UL                             ttV_lep    ttHH

# ===== ttHH / ttVV =====
MC   TTZHTo4b                                                                TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8                                         2017UL,2018UL                             ttVV       ttHH
MC   TTZZTo4b                                                                TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8                                         2017UL,2018UL                             ttVV       ttHH
MC   TTWW                                                                    TTWW_TuneCP5_13TeV-madgraph-pythia8                                             2017UL,2018UL                             ttVV       ttHH
MC   TTWH                                                                    TTWH_TuneCP5_13TeV-madgraph-pythia8                                             2017UL,2018UL                             ttVV       ttHH
MC   TTWZ                                                                    TTWZ_TuneCP5_13TeV-madgraph-pythia8                                             2017UL,2018UL                             ttVV       ttHH
MC   TTTW                                                                    TTTW_TuneCP5_13TeV-madgraph-pythia8                                             2017UL,2018UL                             ttVV       ttHH
MC   TTTT                                                                    TTTT_TuneCP5_13TeV-amcatnlo-pythia8                                             2017UL,2018UL                             ttVV       ttHH
MC   TT4b                                                                    TT4b_TuneCP5_13TeV_madgraph_pythia8                                             2017UL,2018UL                             ttVV       ttHH

# ===== ttHH / singletop =====
MC   ST_t_top                                                                ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8        2017UL,2018UL                             singletop  ttHH
MC   ST_t_antitop                                                            ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8    2017UL,2018UL                             singletop  ttHH
MC   ST_tW_top                                                               ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8                       2017UL,2018UL                             singletop  ttHH
